Date,Price (USD)
2023-04-25,1.2935698750999394
2023-04-26,1.3167054703848688
2023-04-27,1.3080887703519342
2023-04-28,1.3575276238878284
2023-04-29,1.3329172292566691
2023-04-30,1.326701236131509
2023-05-01,1.3416976030539316
2023-05-02,1.2639799422310338
2023-05-03,1.2472322981660287
2023-05-04,1.2523453051757627
2023-05-05,1.2043853837652567
2023-05-06,1.2394296355615688
2023-05-07,1.2089871931178313
2023-05-08,1.185509574206435
2023-05-09,1.0873782510646628
2023-05-10,1.1661831946259804
2023-05-11,1.1809152575659236
2023-05-12,1.1158109126569604
2023-05-13,1.127555948169517
2023-05-14,1.207317390141185
2023-05-15,1.2115116677388027
2023-05-16,1.2194622390719796
2023-05-17,1.1598309940881528
2023-05-18,1.1378238311199207
2023-05-19,1.071607611347577
2023-05-20,1.0440827904736238
2023-05-21,1.0911114563204676
2023-05-22,1.0679507454123658
2023-05-23,1.045515755632075
2023-05-24,1.0923693265347687
2023-05-25,1.0634957826357014
2023-05-26,1.072965124172893
2023-05-27,1.0933121452487613
2023-05-28,1.094835599114962
2023-05-29,1.1517396372068804
2023-05-30,1.1107506777908094
2023-05-31,1.1190433675790683
2023-06-01,1.0743873957077663
2023-06-02,1.0564189196189318
2023-06-03,1.061438535963161
2023-06-04,1.0544640127222247
2023-06-05,1.0290083142763737
2023-06-06,1.0174974755317245
2023-06-07,1.0377273568156054
2023-06-08,0.9867764054460708
2023-06-09,1.0000997067605089
2023-06-10,0.9623805325113309
2023-06-11,0.9215036911084695
2023-06-12,0.933847298060334
2023-06-13,0.9350193121316196
2023-06-14,0.9540164079723583
2023-06-15,0.9174737302267175
2023-06-16,0.9408663023942242
2023-06-17,0.9320436609732717
2023-06-18,0.9317575479344422
2023-06-19,0.9248450984778985
2023-06-20,0.9060258353905948
2023-06-21,0.9104137875033588
2023-06-22,0.9617755889635676
2023-06-23,0.9785434984059099
2023-06-24,0.9933797804643688
2023-06-25,0.9600771746648635
2023-06-26,0.9770396477542793
2023-06-27,0.9904659205031915
2023-06-28,1.0014895293158035
2023-06-29,0.9649601538596717
2023-06-30,0.9712539315767671
2023-07-01,0.9587703941250242
2023-07-02,0.9768297384932666
2023-07-03,0.9566064911321768
2023-07-04,0.9490590836902024
2023-07-05,0.8931418454392881
2023-07-06,0.899923521678331
2023-07-07,0.8463358892522923
2023-07-08,0.8701487831840062
2023-07-09,0.876171689382214
2023-07-10,0.8773496573900017
2023-07-11,0.8759717006978023
2023-07-12,0.8787589812268364
2023-07-13,0.9049230709895869
2023-07-14,0.9534524858420017
2023-07-15,0.9336894913763453
2023-07-16,1.0048635837748514
2023-07-17,0.9660810447516182
2023-07-18,0.9460315772752118
2023-07-19,0.9012449218469664
2023-07-20,0.9007909857462112
2023-07-21,0.9100320195233293
2023-07-22,0.929136258041161
2023-07-23,0.9123130155017003
2023-07-24,0.9122938522764669
2023-07-25,0.8915525378612329
2023-07-26,0.9051528300384968
2023-07-27,0.9211720528384281
2023-07-28,0.921250341437461
2023-07-29,0.9311092810491778
2023-07-30,0.9461808739624985
2023-07-31,0.9286950746115392
2023-08-01,0.9153971819588208
2023-08-02,0.929354247048613
2023-08-03,0.9073279483892237
2023-08-04,0.9073921708990959
2023-08-05,0.9204560701584308
2023-08-06,0.9390565699111026
2023-08-07,0.9414229655262837
2023-08-08,0.9175544378762329
2023-08-09,0.9268716480081919
2023-08-10,0.9256196137782884
2023-08-11,0.9190180159849821
2023-08-12,0.9223502128230474
2023-08-13,0.9202008953642234
2023-08-14,0.9121271205643511
2023-08-15,0.8916753288228426
2023-08-16,0.8525012051487039
2023-08-17,0.8235449943997843
2023-08-18,0.8382933409281398
2023-08-19,0.8419383397081127
2023-08-20,0.8456853296962776
2023-08-21,0.8374889280771018
2023-08-22,0.8521421192292057
2023-08-23,0.8269186487578493
2023-08-24,0.8419730097148991
2023-08-25,0.8335004995263183
2023-08-26,0.8243173066448551
2023-08-27,0.8307040964098968
2023-08-28,0.826388646270003
2023-08-29,0.8293801921536988
2023-08-30,0.8239897460305097
2023-08-31,0.8112710969694534
2023-09-01,0.7883157274972971
2023-09-02,0.7879947333354707
2023-09-03,0.7857207404087933
2023-09-04,0.7824411633731343
2023-09-05,0.7809177051286157
2023-09-06,0.759957335060297
2023-09-07,0.7629980081262354
2023-09-08,0.8132132419756706
2023-09-09,0.7878480282075576
2023-09-10,0.7749154453261393
2023-09-11,0.7769324376428246
2023-09-12,0.7563398995979801
2023-09-13,0.780657543521149
2023-09-14,0.7638981297098798
2023-09-15,0.7740687273596926
2023-09-16,0.7753196877542035
2023-09-17,0.7613857930978507
2023-09-18,0.7528229879766678
2023-09-19,0.8024566302166242
2023-09-20,0.8279747027170372
2023-09-21,0.8917370946289619
2023-09-22,0.8535328474621671
2023-09-23,0.857946899096104
2023-09-24,0.8655486101348322
2023-09-25,0.8385078683552475
2023-09-26,0.7975287435258359
2023-09-27,0.7810197348339898
2023-09-28,0.7789799371136992
2023-09-29,0.7922294183052704
2023-09-30,0.803552997534602
2023-10-01,0.8086492059278033
