Date,TZERO
2023-07-18,1831059.010199999
2023-07-19,2010518.18044
2023-07-20,1601607.967400002912
2023-07-21,1735534.009040058787
2023-07-22,1319597.86756
2023-07-23,3240728.013701173029
2023-07-24,1244797.836103697772
2023-07-25,2287455.063336126876
2023-07-26,1414680.220056629577
2023-07-27,7761852.916878096995
2023-07-28,916588.596978
2023-07-29,877119.764738362167
2023-07-30,1083289.198648673102
2023-07-31,3332206.105124628245
2023-08-01,1230734.61764775173
2023-08-02,1390131.582690307347
2023-08-03,8759954.325849026291
2023-08-04,2871910.872105103955
2023-08-05,1952271.579536340682
2023-08-06,1181725.532188040341
2023-08-07,3362593.553386512408
2023-08-08,1530034.40819692425
2023-08-09,1420614.652722963963
2023-08-10,955232.579742098376
2023-08-11,2398110.322645030369
2023-08-12,948301.06567529683
2023-08-13,343329.48917431
2023-08-14,627011.646882365695
2023-08-15,2706194.925087418908
2023-08-16,961324.377790273688
2023-08-17,495737.641868669
2023-08-18,987685.84072
2023-08-19,500035.11752
2023-08-20,7019603.290057177137
2023-08-21,17198496.426516813549
2023-08-22,112247203.793607320034
2023-08-23,659545.062952966632
2023-08-24,1717799.445169403362
2023-08-25,8817394.934141715762
2023-08-26,5095737.286100813217
2023-08-27,2428823.58586669
2023-08-28,1180358.810271310948
2023-08-29,989613.682703401317
2023-08-30,56916058.140421554304
2023-08-31,729691.880304408314
2023-09-01,17591583.498304133423
2023-09-02,24067735.580696865116
2023-09-03,17202337.961844419728
2023-09-04,11658036.90068
2023-09-05,8308405.464078371653
2023-09-06,4591668.830399379152
2023-09-07,2901144.656196660257
2023-09-08,3043098.958101462458
2023-09-09,4202569.922110678156
2023-09-10,1250060.1344
2023-09-11,1109873.932626625745
2023-09-12,2134452.970616787978
2023-09-13,1663568.803605930627
2023-09-14,733199.649220000001
2023-09-15,976261.345202013358
2023-09-16,15507479.090601867899
2023-09-17,4753775.51491944408
2023-09-18,1880579.631915141539
2023-09-19,2948500.86348603591
2023-09-20,1331969.029193578024
2023-09-21,985461.55309678002
2023-09-22,529128.19216
2023-09-23,801245.46839591329
2023-09-24,1908218.042797306866
2023-09-25,876231.3590800005
2023-09-26,655442.8048
2023-09-27,701132.674563346977
2023-09-28,526902.718840645324
2023-09-29,525789.71816006922
2023-09-30,450726.299968669
2023-10-01,475177.34104
2023-10-02,621168.27108
2023-10-03,702681.703806271741
2023-10-04,970209.059741818681
2023-10-05,3539091.73392
2023-10-06,872663.136680007812
2023-10-07,527365.966500000105
2023-10-08,1179050.541960000006
2023-10-09,1367647.234810333767
2023-10-10,835165.042134647417
2023-10-11,678699.971436319371
2023-10-12,810257.195917989936
2023-10-13,1744942.842731544695
2023-10-14,775576.737061718334
2023-10-15,4194078.890435892286
2023-10-16,2598654.087118665009
2023-10-17,2428926.400143097899
2023-10-18,595379.574654619387
