Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5EhjXmV3XDaJCUmVM5fZ8uie8rLKZD2U8NNXykLBUjbYcfFT,"25,018.35762818424","25,018.35762818424",0,5.00%,0,38710,91002557
5D8HUhCqhoDJzW5cKCdrswwJJFKBXvqMoWLxXYi3JLHfaEEM,"25,002.9999999995","25,002.9999999995",0,5.00%,0,38710,91001677
5EqqrNtEm7k1rRHxK9mXjGmhTnqw3rqS2bGXXu9R2W6T8yyk,"25,000.000001","25,000.000001",0,5.00%,0,38710,91002574
5ECetJJ2SMZ86AdMWpZhcbND29j5XDCcAyRiidJ3VYcB3fBs,"25,000.000001","25,000.000001",0,5.00%,0,38710,91000775
5GpqmjC3i8Ks4Aok2TazAKCj9zoEJoCgnuA2UXxt6ykwV5rA,"25,000.000001","25,000.000001",0,5.00%,0,38710,91002575
5F4VxZXUhfaYSd49rLRjPJdgucx7PSbmDotpsmuKoNk4icKi,"25,000","25,000",0,5.00%,0,38710,91001664
5H11ZxQQGrc6QNp97s92FkReeSqkwaPZGCPvgTVjMNoJyLoy,"25,000","25,000",0,5.00%,0,38710,91003481
5Ct2UTjd1tTUeuR4LGNk71Vq6taGB9HVA65QPurauH1SxCbr,"25,000","25,000",0,5.00%,0,38710,91000761
5D9eW7s1FFczYuGtnZsJuCyG9uWTFvN7Q51VmKyi3SBVfZTf,"25,000","25,000",0,5.00%,0,38710,91002589
5GP1mwCgfZfJL9KpXg4N5pcEje8TU3Lxv6xZtnoVK9LrxJwi,"25,000","25,000",0,5.00%,0,38710,91001686
5DyhgyBLrKM5mUcePv6AQRyJeKBNpvMB517dTYPBVU5zamJn,"25,000","25,000",0,5.00%,0,38710,91004080
5F6ajakj8xYyg2Tqt7b55e5S7iouoGGypqEy5Y1ycscqdB96,"25,000","25,000",0,5.00%,0,38710,91004077
5Ft9TSaxcGb2zYHAeqLFsCfWMtz7CaRBE4GzbvPNK1ipxScU,"25,000","25,000",0,5.00%,0,38710,91002581
5Fo2xd95nfxE8McPVVJ1T5ZduHtpEaFe8mj1vXLjLNumx4SJ,"25,000","25,000",0,5.00%,0,38710,91003492
